1,Apple iPhone 15,Electronics,79999.00
2,Samsung Galaxy S23,Electronics,74999.00
3,OnePlus 12,Electronics,64999.00
4,Dell Inspiron Laptop,Electronics,58999.00
5,HP Pavilion Laptop,Electronics,62999.00
6,Lenovo ThinkPad,Electronics,71999.00
7,Sony WH-1000XM5 Headphones,Electronics,29999.00
8,JBL Flip 6 Speaker,Electronics,9999.00
9,Apple iPad Air,Electronics,59999.00
10,Samsung Galaxy Tab S9,Electronics,69999.00
11,LG Smart TV 55 Inch,Electronics,54999.00
12,Sony Bravia 50 Inch,Electronics,52999.00
13,Canon EOS 1500D,Electronics,45999.00
14,Nikon D5600,Electronics,49999.00
15,GoPro Hero 12,Electronics,39999.00
16,Mi Power Bank 20000mAh,Electronics,1999.00
17,Logitech Wireless Mouse,Electronics,1499.00
18,HP Wireless Keyboard,Electronics,1299.00
19,Seagate 1TB Hard Drive,Electronics,4499.00
20,SanDisk 128GB Pendrive,Electronics,899.00
21,LG Refrigerator 260L,Appliances,28999.00
22,Samsung Washing Machine 7kg,Appliances,24999.00
23,Whirlpool Microwave Oven,Appliances,11999.00
24,Voltas 1.5 Ton AC,Appliances,38999.00
25,Prestige Induction Cooktop,Appliances,3499.00
26,Philips Mixer Grinder,Appliances,4999.00
27,Bajaj Electric Kettle,Appliances,1499.00
28,Havells Ceiling Fan,Appliances,2699.00
29,Eureka Forbes Vacuum Cleaner,Appliances,8999.00
30,Kent Water Purifier,Appliances,15999.00
31,Nike Air Max Shoes,Fashion,6999.00
32,Adidas Running Shoes,Fashion,5999.00
33,Puma Sports T-shirt,Fashion,1499.00
34,Levis Slim Fit Jeans,Fashion,3499.00
35,Zara Casual Shirt,Fashion,2999.00
36,H&M Hoodie,Fashion,2499.00
37,Allen Solly Formal Shirt,Fashion,2199.00
38,Peter England Trousers,Fashion,1999.00
39,Ray-Ban Sunglasses,Accessories,4999.00
40,Fastrack Analog Watch,Accessories,2999.00
41,Titan Smart Watch,Accessories,8999.00
42,Wildcraft Backpack,Accessories,2499.00
43,American Tourister Trolley,Accessories,4999.00
44,Lavie Handbag,Accessories,2999.00
45,Woodland Leather Wallet,Accessories,1999.00
46,Noise Smart Band,Accessories,2499.00
47,Skybags Laptop Bag,Accessories,2199.00
48,Casio Digital Watch,Accessories,2499.00
49,Police Sunglasses,Accessories,5999.00
50,Tommy Hilfiger Belt,Accessories,3499.00
51,Godrej Study Table,Furniture,7999.00
52,Nilkamal Office Chair,Furniture,6999.00
53,Ikea Bookshelf,Furniture,5999.00
54,Urban Ladder Sofa,Furniture,29999.00
55,Sleepwell Mattress,Furniture,15999.00
56,Durian Dining Table,Furniture,24999.00
57,HomeTown Wardrobe,Furniture,18999.00
58,Nilkamal Plastic Chair,Furniture,999.00
59,Godrej Steel Almirah,Furniture,14999.00
60,Urban Ladder Coffee Table,Furniture,7999.00
61,Cello Water Bottle,Sports,499.00
62,Cosco Football,Sports,899.00
63,SG Cricket Bat,Sports,2499.00
64,Yonex Badminton Racket,Sports,1999.00
65,HRX Gym Dumbbells,Sports,3499.00
66,PowerMax Treadmill,Sports,44999.00
67,Boldfit Yoga Mat,Sports,999.00
68,Nivia Basketball,Sports,799.00
69,Decathlon Cycling Helmet,Sports,1999.00
70,Speedo Swimming Goggles,Sports,899.00
71,Milton Dinner Set,Kitchen,4999.00
72,Prestige Pressure Cooker,Kitchen,2999.00
73,Pigeon Frying Pan,Kitchen,1499.00
74,Borosil Glass Set,Kitchen,999.00
75,Cello Knife Set,Kitchen,1999.00
76,Hawkins Gas Stove,Kitchen,5999.00
77,Morphy Richards Toaster,Kitchen,1999.00
78,Philips Air Fryer,Kitchen,8999.00
79,Butterfly Non-stick Cookware Set,Kitchen,3999.00
80,Milton Thermos Flask,Kitchen,1299.00
81,Philips Hair Dryer,Personal Care,1499.00
82,Mi Beard Trimmer,Personal Care,1999.00
83,Oral-B Electric Toothbrush,Personal Care,3499.00
84,Nivea Grooming Kit,Personal Care,999.00
85,Vega Hair Straightener,Personal Care,2499.00
86,Mamaearth Skin Care Kit,Personal Care,1499.00
87,Lakme Makeup Kit,Personal Care,1999.00
88,Gillette Shaving Kit,Personal Care,899.00
89,Ponds Beauty Cream Pack,Personal Care,799.00
90,Dettol Hygiene Kit,Personal Care,699.00
